Title,Author(s),Original language,First published,Approximate sales
A Tale of Two Cities,Charles Dickens,English,1859,>200 million[20],Historical fiction
The Little Prince(Le Petit Prince),Antoine de Saint-Exupéry,French,1943,200 million[21][22],"Fantasy,Children's fiction"
Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120 million[23][24],"Fantasy,Children's fiction"
And Then There Were None,Agatha Christie,English,1939,100 million[25],Mystery
Dream of the Red Chamber(紅樓夢),Cao Xueqin,Chinese,1791,100 million[26][27],Family saga
The Hobbit,J. R. R. Tolkien,English,1937,100 million[28][29][30],"Fantasy,Children's fiction"
She: A History of Adventure,H. Rider Haggard,English,1887,83 million[31],Adventure
The Da Vinci Code,Dan Brown,English,2003,80 million[32],Mysterythriller
Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,77 million[33],Fantasy
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,1999,65 million[34],Fantasy
Harry Potter and the Goblet of Fire,J. K. Rowling,English,2000,65 million[34],Fantasy
Harry Potter and the Order of the Phoenix,J. K. Rowling,English,2003,65 million[34],Fantasy
Harry Potter and the Half-Blood Prince,J. K. Rowling,English,2005,65 million[34],Fantasy
Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,65 million[34],Fantasy
The Alchemist(O Alquimista),Paulo Coelho,Portuguese,1988,65 million[35][36][obsolete source],Fantasy
The Catcher in the Rye,J. D. Salinger,English,1951,65 million[37],Coming-of-age
The Bridges of Madison County,Robert James Waller,English,1992,60 million[38],Romance
One Hundred Years of Solitude(Cien años de soledad),Gabriel García Márquez,Spanish,1967,50 million[39][40][41],Magic realism
Lolita,Vladimir Nabokov,English,1955,50 million[42],Novel
Heidi,Johanna Spyri,German,1880,50 million[43],Children's fiction
The Common Sense Book of Baby and Child Care,Benjamin Spock,English,1946,50 million[44],Manual
Anne of Green Gables,Lucy Maud Montgomery,English,1908,50 million[45],Children's novel
Black Beauty,Anna Sewell,English,1877,50 million[46],Children's literature
The Name of the Rose(Il Nome della Rosa),Umberto Eco,Italian,1980,50 million[47],"Historical novel,mystery"
The Eagle Has Landed,Jack Higgins,English,1975,50 million[48],"War,thriller"
Watership Down,Richard Adams,English,1972,50 million[49],Fantasy
The Hite Report,Shere Hite,English,1976,50 million[50],Sexology
Charlotte's Web,E. B. White; illustrated byGarth Williams,English,1952,50 million[51],Children's fiction
The Ginger Man,J. P. Donleavy,English,1955,50 million[52],Novel
The Tale of Peter Rabbit,Beatrix Potter,English,1902,45 million[53],Children's Literature
Jonathan Livingston Seagull,Richard Bach,English,1970,44 million[54],"Novella, Self-help"
The Very Hungry Caterpillar,Eric Carle,English,1969,43 million[55],"Children's Literature, picture book"
A Message to Garcia,Elbert Hubbard,English,1899,40 million[44],Essay/Literature
To Kill a Mockingbird,Harper Lee,English,1960,40 million[56],"Southern Gothic,Bildungsroman"
Flowers in the Attic,V. C. Andrews,English,1979,40 million[57],"Gothic horror,Family saga"
Cosmos,Carl Sagan,English,1980,40 million[58],"Popular science,Anthropology,Astrophysics,Cosmology,Philosophy,History"
Sophie's World(Sofies verden),Jostein Gaarder,Norwegian,1991,40 million[59],"Philosophical novel,Young adult"
Angels & Demons,Dan Brown,English,2000,39 million[60],Mystery-thriller
Alcholics Anonymous,William Griffith Wilson,English,1939,over 37 million[61],Self-Help
Kane and Abel,Jeffrey Archer,English,1979,37 million[62],Novel
How the Steel Was Tempered(Как закалялась сталь),Nikolai Ostrovsky,Russian,1932,36.4 million copies in USSR[63],Socialist realistnovel
War and Peace(Война и мир),Leo Tolstoy,Russian,1869,36 million copies in Russia[63],Historical novel
The Adventures of Pinocchio(Le avventure di Pinocchio),Carlo Collodi,Italian,1881,35 million[64][65][better source needed],"Fantasy,Children's fiction"
The Diary of Anne Frank(Het Achterhuis),Anne Frank,Dutch,1947,35 million[66],"Historical non-fiction,Autobiography,Memoir,Bildungsroman/Coming of Age,Jewish literature"
Your Erroneous Zones,Wayne Dyer,English,1976,35 million[67][68],Self-help
The Thorn Birds,Colleen McCullough,English,1977,33 million[69],Romantic family saga
The Kite Runner,Khaled Hosseini,English,2003,31.5 million[70],"Bildungsroman,Historical fiction"
Valley of the Dolls,Jacqueline Susann,English,1966,31 million[71],Novel
How to Win Friends and Influence People,Dale Carnegie,English,1936,Over 30 million[72][73],Self-help
The Great Gatsby,F. Scott Fitzgerald,English,1925,"30 million (""around"")[74]","Novel,tragedy"
Gone with the Wind,Margaret Mitchell,English,1936,30 million (est.)[75],Historical fiction
Rebecca,Daphne du Maurier,English,1938,30 million (est.)[76],Gothic novel
The Revolt of Mamie Stover,William Bradford Huie,English,1951,30 million[77],Fiction
The Girl with the Dragon Tattoo(Män som hatar kvinnor),Stieg Larsson,Swedish,2005,30 million[78],Fiction
The Lost Symbol,Dan Brown,English,2009,30 million[79],Fiction
The Hunger Games,Suzanne Collins,English,2008,29 million in US[80],Young adult fiction
James and the Giant Peach,Roald Dahl,English,1961,28 million[81],Children's novel
The Young Guard(Молодая гвардия),Alexander Alexandrovich Fadeyev,Russian,1945,26 million copies in USSR[63],Young adult historical novel
Who Moved My Cheese?,Spencer Johnson,English,1998,28[82]– 30[83]million,"Self-help,motivational,business fable,psychology,leadership,parable"
A Brief History of Time,Stephen Hawking,English,1988,25 million[84],Popular science
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,25 million[85],Novel
Lust for Life,Irving Stone,English,1934,25 million[86],Biographical novel
The Wind in the Willows,Kenneth Grahame,English,1908,25 million[87],Children's literature
The 7 Habits of Highly Effective People,Stephen R. Covey,English,1989,25 million[88],Self-help
Totto-Chan: The Little Girl at the Window(窓ぎわのトットちゃん),Tetsuko Kuroyanagi,Japanese,1981,25 million[89],Autobiographical novel
Virgin Soil Upturned(Поднятая целина),Mikhail Sholokhov,Russian,1935,24 million copies in USSR[63],Novel
The Celestine Prophecy,James Redfield,English,1993,23 million[90],New-age spiritual novel
The Fault in Our Stars,John Green,English,2012,23 million[91],Young adult romantic novel
The Girl on the Train,Paula Hawkins,English,2015,23 million[92],Thriller
The Shack,William P. Young,English,2007,22.5 million[93],Novel
Uncle Styopa(Дядя Стёпа),Sergey Mikhalkov,Russian,1936,21 million copies in USSR[63],"Children's Literature, picture book"
The Godfather,Mario Puzo,English,1969,21 million[94],Crime novel
Love Story,Erich Segal,English,1970,21 million[95],Romance novel
Catching Fire,Suzanne Collins,English,2009,21 million in US[80],"Young Adult novel, adventure, dystopian,science fiction"
Mockingjay,Suzanne Collins,English,2010,20 million in US[80],"Young Adult novel, adventure, war, science fiction, action thriller"
Kitchen(キッチン),Banana Yoshimoto,Japanese,1988,20 million[96],Japanese novel
Andromeda Nebula(Туманность Андромеды),Ivan Yefremov,Russian,1957,20 million[97],Science fiction novel
Gone Girl,Gillian Flynn,English,2012,20 million[98],Crime thriller novel
The Bermuda Triangle,Charles Berlitz,English,1974,20 million[99],
Things Fall Apart,Chinua Achebe,English,1958,20 million[100],Novel
Wolf Totem(狼图腾),Jiang Rong,Chinese,2004,20 million[101],Semi-autobiographical novel
The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,20 million[102],Memoir
Jaws,Peter Benchley,English,1974,20 million[103],Thriller
Love You Forever,Robert Munsch,English,1986,20 million[104],"Children's literature, picture book, fiction"
The Women's Room,Marilyn French,English,1977,20 million[105],Feminist novel
What to Expect When You're Expecting,Arlene EisenbergandHeidi Murkoff,English,1984,20 million[106],Pregnancy guide
Adventures of Huckleberry Finn,Mark Twain,English,1885,20 million[107],"Picaresque novel,Bildungsroman, satire,Robinsonade"
"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,English,1982,20 million[108],Young adult novel
Pride and Prejudice,Jane Austen,English,1813,20 million[109][110],"Classicregency novel, romance"
Kon-Tiki: Across the Pacific in a Raft(Kon-Tiki ekspedisjonen),Thor Heyerdahl,Norwegian,1950,20 million[111],Travel literature
The Good Soldier Švejk(Osudy dobrého vojáka Švejka za světové války),Jaroslav Hašek,Czech,1923,20 million (printed)[112],Unfinishedsatiricaldark comedynovel
Where the Wild Things Are,Maurice Sendak,English,1963,20 million[113],Children'spicture book
The Power of Positive Thinking,Norman Vincent Peale,English,1952,20 million[114],Self-help
The Secret,Rhonda Byrne,English,2006,20 million[115],Self-help
Fear of Flying,Erica Jong,English,1973,20 million[116],Romantic novel
Dune,Frank Herbert,English,1965,20 million[117],Science fiction novel
Charlie and the Chocolate Factory,Roald Dahl,English,1964,20 million[118],Children'sfantasy novel
The Naked Ape,Desmond Morris,English,1968,20 million[119],"Social Science,Anthropology,Psychology"
Where the Crawdads Sing,Delia Owens,English,2018,18 million[120],Coming-of-ageMurder mystery
Matilda,Roald Dahl,English,1988,17 million[121],Children's Literature
The Book Thief,Markus Zusak,English,2005,16 million[122],Young Adult Fiction
The Horse Whisperer,Nicholas Evans,English,1995,16 million[123],
Goodnight Moon,Margaret Wise Brown,English,1947,16 million[124],Children's Literature
The Neverending Story(Die unendliche Geschichte),Michael Ende,German,1979,16 million[125],Children's Literature
All the Light We Cannot See,Anthony Doerr,English,2014,15.3 million[126],"Historical fiction,war novel"
Fifty Shades of Grey,E. L. James,English,2011,15.2 million in the U.S.[127],Erotica
The Outsiders,S. E. Hinton,English,1967,15 million[128],
Guess How Much I Love You,Sam McBratney,English,1994,15 million[129],
Shōgun,James Clavell,English,1975,15 million[130],
The Poky Little Puppy,Janette Sebring Lowrey,English,1942,15 million[131],
The Pillars of the Earth,Ken Follett,English,1989,15 million[132],Historical fiction
Perfume(Das Parfum),Patrick Süskind,German,1985,15 million[133],
The Grapes of Wrath,John Steinbeck,English,1939,15 million[134],
The Shadow of the Wind(La sombra del viento),Carlos Ruiz Zafón,Spanish,2001,15 million[135],
Interpreter of Maladies,Jhumpa Lahiri,English,2000,15 million[136],
Becoming,Michelle Obama,English,2018,14 million[137],
The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,14 million[138],Science fiction
Tuesdays with Morrie,Mitch Albom,English,1997,14 million[139],
God's Little Acre,Erskine Caldwell,English,1933,14 million[140],
Follow Your Heart(Va' dove ti porta il cuore),Susanna Tamaro,Italian,1994,14 million[141],
A Wrinkle in Time,Madeleine L'Engle,English,1962,14 million[142]
Long Walk to Freedom,Nelson Mandela,English,1994,14 million[143],
The Old Man and the Sea,Ernest Hemingway,English,1952,13 million[63]
Life After Life,Raymond Moody,English,1975,13 million[144],
Momo,Michael Ende,German,1973,13 million[145],Children's Literature
Peyton Place,Grace Metalious,English,1956,12.1 million[146],
The Giver,Lois Lowry,English,1993,12 million[147][148],Dystopian fiction
Me Before You,Jojo Moyes,English,2012,12 million[149],
Norwegian Wood(ノルウェイの森),Haruki Murakami,Japanese,1987,12 million[150],
The Plague(La Peste),Albert Camus,French,1947,12 million[151],
No Longer Human(人間失格),Osamu Dazai,Japanese,1948,12 million[152]
Man's Search for Meaning(Ein Psychologe erlebt das Konzentrationslager),Viktor Frankl,German,1946,12 million[153],
The Divine Comedy(La Divina Commedia),Dante Alighieri,Italian,1304,11–12 million (during the 20th century)[154],
The Prophet,Kahlil Gibran,English,1923,11 million[155],
The Boy in the Striped Pyjamas,John Boyne,English,2006,11 million[156],
The Exorcist,William Peter Blatty,English,1971,11 million[157],Horror
The Gruffalo,Julia Donaldson,English,1999,10.5 million[158],
Fifty Shades Darker,E. L. James,English,2012,10.4 million in the U.S.[127],Erotica
Tobacco Road,Erskine Caldwell,English,1932,10 million[159],
"Ronia, the Robber's Daughter",Astrid Lindgren,Swedish,1981,10 million[160],
The Cat in the Hat,Dr. Seuss,English,1957,10.5 million[161],
Diana: Her True Story,Andrew Morton,English,1992,10 million[162],
The Help,Kathryn Stockett,English,2009,10 million[163],
Catch-22,Joseph Heller,English,1961,10 million[164],
The Stranger(L'Étranger),Albert Camus,French,1942,10 million[165],
Eye of the Needle,Ken Follett,English,1978,10 million[166],
The Lovely Bones,Alice Sebold,English,2002,10 million[167],
Wild Swans,Jung Chang,English,1992,10 million[168],
Santa Evita,Tomás Eloy Martínez,Spanish,1995,10 million[169],
Night(Un di Velt Hot Geshvign),Elie Wiesel,Yiddish,1958,10 million[170],
Confucius from the Heart(于丹《论语》心得),Yu Dan,Chinese,2006,10 million[171],
The Total Woman,Marabel Morgan,English,1974,10 million[172],
Knowledge-value Revolution(知価革命),Taichi Sakaiya,Japanese,1985,10 million[173],
Problems in China's Socialist Economy(中国社会主义经济问题研究),Xue Muqiao,Chinese,1979,10 million[174],
What Color Is Your Parachute?,Richard Nelson Bolles,English,1970,10 million[175],
The Dukan Diet,Pierre Dukan,French,2000,10 million[176],
The Joy of Sex,Alex Comfort,English,1972,10 million[177],
The Gospel According to Peanuts,Robert L. Short,English,1965,10 million[178],
The Subtle Art of Not Giving a Fuck,Mark Manson,English,2016,10 million[179],
Life of Pi,Yann Martel,English,2001,10 million[180],
The Front Runner,Patricia Nell Warren,English,1974,10 million[181],
The Goal,Eliyahu M. Goldratt,English,1984,10 million[182],
Fahrenheit 451,Ray Bradbury,English,1953,10 million[183],
Angela's Ashes,Frank McCourt,English,1996,10 million[184],
The Story of My Experiments with Truth(સત્યના પ્રયોગો અથવા આત્મકથા),Mohandas Karamchand Gandhi,Gujarati,1925–1929,10 million[185],
Bridget Jones's Diary,Helen Fielding,English,1996,10 million (as of 2005)[186],
Harry Potter,J. K. Rowling,English,7 + 3 companion books + 4 scripts,1997–2007,600 million[13]
Goosebumps,R. L. Stine,English,62 + spin-off series,1992–present,400 million[187]
Perry Mason,Erle Stanley Gardner,English,82 + 4 short stories,1933–1973,300 million[188]
Diary of a Wimpy Kid,Jeff Kinney,English,18 + 5 spin-offs,2007–present,275 million[189]
Berenstain Bears,Stan and Jan Berenstain,English,428,1962–present,260 million[190]
Choose Your Own Adventure,Various authors,English,185+,1979–present,250 million[191]
Sweet Valley High,Francine Pascaland ghostwriters,English,400,1983–2003,250 million[192]
The Railway Series,"Rev. W. Awdry,Christopher Awdry",English,42,1945–2011,201 million[193]
Noddy,Enid Blyton,English,24,1949–present,200 million[194]
Nancy Drew,Various authors asCarolyn Keene,English,175,1930–present,200 million[195]
San-Antonio,Frédéric Dard,French,173,1949–2001,200 million[196]
Robert Langdon,Dan Brown,English,5,2000–present,200 million[197]
Geronimo Stilton,Elisabetta Dami,Italian,200+,1997–present,180 million[198]
Percy Jackson & the Olympians,Rick Riordan,English,6 + 4 companion books,2005–present,180 million[199]
The Baby-sitters Club,Ann Martin,English,335,1986–present,172 million[200]
Twilight,Stephenie Meyer,English,4 + 2 companion books + 1 novella,2005–2020,160 million[201]
Star Wars,Various authors,English,over 300,1977–present,160 million[202]
Little Critter,Mercer Mayer,English,over 200,1975–present,150 million[203]
Peter Rabbit,Beatrix Potter,English,6,1902–1930,150 million[204]
Fifty Shades,E. L. James,English,3,2011–2015,150 million[205]
American Girl,Various authors,English,141 + spin-off series,1986–present,160 million[206]
Chicken Soup for the Soul,"Jack Canfield,Mark Victor Hansen",English,105,1997–present,130 million[207]
Clifford the Big Red Dog,Norman Bridwell,English,over 80[208],1963–2014,129 million[209]
Frank Merriwell,Gilbert Patten,English,209,1896–1936,125 million[210]
Dirk Pitt,Clive Cussler,English,24,1973–present,120 million[211]
宮本武蔵 (Musashi),Eiji Yoshikawa,Japanese,7,1935–1939,120 million[212]
The Chronicles of Narnia,C. S. Lewis,English,7,1950–1956,120 million[213]
Mr. Men,"Roger Hargreaves,Adam Hargreaves",English,43,1971–present,120 million[214]
SAS,Gérard de Villiers,French,200,1965–2013,120 million[215][216]
The Hunger Games,Suzanne Collins,English,4,2008–2020,100 million[217]
James Bond,Ian Fleming,English,14,1953–1966,100 million[218]
Martine,"Gilbert Delahaye,Marcel Marlier",French,60,1954–2014,100 million[219]
Millennium,"Stieg Larsson,David Lagercrantz",Swedish,6,2005–present,100 million[220]
A Song of Ice and Fire,George R. R. Martin,English,5 + 3 novellas + 1 guide,1996–present,90 million[221]
The Wheel of Time,"Robert Jordan,Brandon Sanderson",English,15,1990–2013,100 million[222]
Discworld,Terry Pratchett,English,42,1983–2015,90 million[223]
Nijntje(Miffy),Dick Bruna,Dutch,119,1955–present,85 million[224]
Alex Cross,James Patterson,English,21,1993–present,81 million[225]
Anpanman(アンパンマン),Takashi Yanase,Japanese,150 picture books,1973–2013,80 million[226]
Captain Underpants,Dav Pilkey,English,12 plus spinoffs,1997–2015,80 million[227]
Fear Street,R. L. Stine,English,114,1989–present,80 million[228]
Pippi Långstrump(Pippi Longstocking),Astrid Lindgren,Swedish,3 + 3 picture books,1945–2001,80 million[229]
The Vampire Chronicles,Anne Rice,English,13,1976–2021,80 million[230]
OSS 117,Jean Bruce,French,265,1949–1992,75 million[231]
Winnie-the-Pooh,A. A. Milne; illustrated byE. H. Shepard,English,2,1926–1928,70 million[232]
Magic Tree House series,Mary Pope Osborne,English,56[233],1992–present,70 million[234]
Left Behind,"Tim LaHaye,Jerry B. Jenkins",English,16,1996–2007,65 million[235]
A Series of Unfortunate Events,Lemony SnicketakaDaniel Handler,English,13,1999–2006,65 million[236]
Little House on the Prairie,Laura Ingalls Wilder,English,12,1932–2006,60 million[237]
All Creatures Great and Small,"Alf Wight, asJames Herriot",English,8,1970–1992,60 million[238]
Jack Reacher,Lee Child,English,22 Novels + 11 Short Stories,1997–present,60 million[239]
The Magic School Bus,"Joanna Cole, illustrated byBruce Degen",English,131,1986–2010,58 million[240]
Where's Wally?[241],Martin Handford,English,13,1987–present,55 million[242]
"Men Are from Mars, Women Are from Venus",John Gray,English,15,1992–present,50 million[243]
The Hardy Boys,Various authors asFranklin W. Dixon,English,190,1927–present,50 million[244]
The Bobbsey Twins,Various authors asLaura Lee Hope,English,72,1904–1979,50 million[245]
Tarzan,Edgar Rice Burroughs,English,26,1914–1995,50 million[246]
Earth's Children,Jean M. Auel,English,6,1980–2011,45 million[247]
A Child's First Library Of Learning,Various authors,English,29,1980–,45 million[248]
Junie B. Jones,Barbara Park,English,30,1992–2013,44 million[249]
Harry Bosch,Michael Connelly,English,15,1992–,42 million[250]
Harry Hole,Jo Nesbø,Norwegian,9,1997–present,40 million[251]
Warriors,Erin Hunter,English,78,2003–present,40 million[252]
连环画 铁道游击队 (Picture-and-story bookRailway Guerilla),original author:Liu Zhixia,Chinese,10,1955–1962,36.52 million[253]
The Shadowhunter Chronicles,Cassandra Clare,English,14 + 8 companion books,2007–present,50 million[254]
かいけつゾロリ (Kaiketsu Zorori),Yutaka Hara,Japanese,60,1987–present,35 million[255]
Paddington Bear,Michael Bond,English,70,1958–present,35 million[256]
Divergent trilogy,Veronica Roth,English,3 + 1 companion book,2011–2013,35 million[257]
ノンタン (Nontan),Sachiko Kiyono,Japanese,40,1976–2016,33.6 million[258]
The Inheritance Cycle,Christopher Paolini,English,4,2002–2011,33 million[259]
"Rich Dad, Poor Dad","Robert Kiyosaki,Sharon Lechter",English,18,1997–,32 million[260]
とある魔術の禁書目録 (Toaru Majutsu no Index),Kazuma Kamachi,Japanese,46,2004–,30 million[261]
グイン・サーガ (Guin Saga),Kaoru Kurimoto,Japanese,147,1979–2009,30 million[262]
徳川家康(Tokugawa Ieyasu),Sōhachi Yamaoka,Japanese,26,1950–1967,30 million[263]
Ramona,Beverly Cleary,English,8,1955–1999,30 million[264]
The Dark Tower,Stephen King,English,8,1982–2012,30 million[265]
Dork Diaries,Rachel Renée Russell,English,15,2009–present,30 million[266]
The Destroyer,"Warren MurphyandRichard Sapir, various authors",English,150,1971–present,30 million[267]
地球往事 (Remembrance of Earth's Past),Liu Cixin,Chinese,3,2008–2010,29 million[268],science fiction
三毛猫ホームズシリーズ(Calico Cat Holmes series),Jirō Akagawa,Japanese,43,1978–present,28 million[269],"detective,mystery"
Curious George,Hans Augusto ReyandMargret Rey,English,58,1941–present,27 million[270],Children's Literature
Shannara,Terry Brooks,English,20,1977–present,26 million[271]
Kurt Wallander,Henning Mankell,Swedish,10,1991–2002,25 million[272]
Sagan om Isfolket(The Legend of the Ice People),Margit Sandemo,Swedish,47,1982–1989,25 million[273]
The Sword of Truth,Terry Goodkind,English,21,1998–present,25 million[274]
Outlander,Diana Gabaldon,English,8,1991–present,25 million[275]
ズッコケ三人組(Zukkoke Sanningumi),Masamoto Nasu,Japanese,50,1978–2004,25 million[276],Children's Literature
鬼平犯科帳 (Onihei Hankachō),Shōtarō Ikenami,Japanese,24,1968–1990,"24.4 million, onlybunkobon[277]",jidaigeki
Brain Quest,Various authors,English,,1992–present,23.7 million[278]
South Beach Diet,Arthur Agatston,English,6,2003–present,22 million[279]
ソードアート・オンライン (Sword Art Online),Reki Kawahara,Japanese,27,2009–present,30 million[280]
竜馬がゆく(Ryoma ga Yuku),Ryōtarō Shiba,Japanese,5,1963–1966,21.5 million[281],jidaigeki
Artemis Fowl,Eoin Colfer,English,8 + 1 companion book,2001–2012,21 million[282],
The Cosmere,Brandon Sanderson,English,30+[283],2005–present,21 Million[284],
I Survived,Lauren Tarshis,English,25,2010–2020,more than 20 million[285][286]
Découvertes Gallimard,Various authors,French,more than 700,1986–present,more than 20 million[287][288]
Redwall,Brian Jacques,English,22,1986–2011,20 million[289]
Maisy,Lucy Cousins,English,23,1990–present,20 million[129]
Dragonlance,Various authors,English,more than 150,1984–present,20 million[290]
幻魔大戦 (Genma Taisen),Kazumasa Hirai,Japanese,20,1979–1983,20 million[291]
青春の門 (The Gate of Youth),Hiroyuki Itsuki,Japanese,,1970–present,20 million[292]
スレイヤーズ (Slayers),Hajime Kanzaka,Japanese,50,1989–present,20 million[293]
The Foundation Trilogy,Isaac Asimov,English,3[294],1950–1953,20 million[295]
Horrible Histories,Terry Deary,English,24,1993–present,20 million[296]
Rainbow Magic,Daisy Meadows,English,80+,2003–present,20 million[297]
Morgan Kane,Louis Masterson,Norwegian,90,1966–,20 million[298]
The Southern Vampire Mysteries,Charlaine Harris,English,13,2001–2013,20 million[299]
Doc Savage,"Lester Dent, various authors",English,203,1933–present,20 million[300]
涼宮ハルヒシリーズ(Haruhi Suzumiya Series),Nagaru Tanigawa,Japanese,11,2003–present,20 million[301]
科学のアルバム (Kagaku no album),Various authors,Japanese,,1970–present,19 million[302]
剣客商売(Kenkaku Shobai),Shotaro Ikenami,Japanese,18,1972–1989,18 million[303]
Erast Fandorinseries,Boris Akunin,Russian,12,1998–present,18 million[304]
Dragonriders of Pern,Anne McCaffrey,English,23,1967–present,18 million[305]
吸血鬼ハンターD (Vampire Hunter D),Hideyuki Kikuchi,Japanese,39,1983–present,17 million[306]
The Hitchhiker's Guide to the Galaxy,"Douglas Adams, plus a final book byEoin Colfer",English,6,1979–2008,16 million[307][308]
ぼくらシリーズ(Bokura series),Osamu Soda,Japanese,36,1985–present,15 million[309]
Bridget Jones,Helen Fielding,English,3,1996–present,15 million[310]
His Dark Materials,Philip Pullman,English,3,1995–2000,15 million[311]
銀河英雄伝説 (Legend of the Galactic Heroes),Yoshiki Tanaka,Japanese,14,1982–1989,15 million[312]
The No. 1 Ladies Detective Agency,Alexander McCall Smith,English,23,1999–present,15 million[313]
Der Regenbogenfisch(Rainbow Fish),Marcus Pfister,German,,1992–present,15 million[314]
The Riftwar Cycle,Raymond E. Feist,English,25,1982–present,15 million[315]
TheThrawntrilogy,Timothy Zahn,English,3,1991–93,15 million[316]
Wiedźmin(The Witcher),Andrzej Sapkowski,Polish,9,1990–2013,15 million[317]
新华字典 (Xinhua Zidian/ Xinhua Dictionary),Chief editor: Wei Jiangong,Chinese,1957,567 million[320]
Scouting for Boys,Robert Baden-Powell,English,1908,100–150 million[321]
The McGuffey Readers,William Holmes McGuffey,English,1853,125 million[322]
Guinness World Records(published every year),Various authors,English,1955,115 million[323]
六星占術によるあなたの運命 (Rokusei Senjutsu (Six-Star Astrology) Tells Your Fortune),Kazuko HosokiKaori Hosoki,Japanese,1986,101.2 million[324]
American Spelling Book(Webster's Dictionary),Noah Webster,English,1783,100 million[44]
World Almanac(published every year),Various authors,English,1868–76; 1886–present,82 million[325][326]
Betty Crocker Cookbook,General Mills staff,English,1950–2016 (12th edition),75 million[327]
Tung Shing(Chinese:通勝),"Choi Park Lai's family, among others",Chinese,1891(Only counting versions published by Choi's family),>70 million (Only counting version published by Choi)[328]
Merriam-Webster's Collegiate Dictionary,Merriam-Webster,English,1898,55 million[329]
Roget's Thesaurus,Peter Mark Roget,English,1852–,40 million[330]
できるシリーズ (Dekiru Series),ImpressDekiru Series Editorial Desk,Japanese,1994–present,40 million[331]
Better Homes and Gardens New Cook Book,Various authors,English,1930–,38 million[332]
수학의 정석(The Art of Mathematics),Hong Sung-dae,Korean,1966–present,37 million[333]~ 40 million[334]
Oxford Advanced Learner's Dictionary,A. S. Hornby,English,1948,30 million[335]
Le guide Michelin France(The Michelin GuideFrance) (published every year),Various authors,French,1900–present,30 million[336]
超図解シリーズ (Cho-Zukai series),X media,Japanese,1996–2007,25 million[337]
自由自在(Jiyu Jizai),Various authors,Japanese,1953–present,24 million[338]
新明解国語辞典 (Shin Meikai kokugo jiten),Tadao Yamada,Japanese,1972,20.4 million[339]
English Grammar,Lindley Murray,English,1795,20 million[340]
The Joy of Cooking,Various authors,English,1936,18 million[341]
スーパーマップル (Super Mapple),Various authors,Japanese,1991–present,18 million[342]
チャート式(Chart Shiki),Various authors,Japanese,1927–present,"17.44 million, only for the first grade of high-school[343]"
"英語基本単語集 (Eigo Kihon Tangoshu) ""Compilation of basic English vocabulary""",Yoshio Akao,"Japanese, English",1942,17.2 million[343]
Merriam-Webster Pocket Dictionary,,English,(Up to 1965),15.11 million[344]
"試験に出る英単語 (Siken Ni Deru Eitango) ""English vocabulary in examinations""",Ichiro Mori,"Japanese, English",1967,15 million[345]
"新英和中辞典 (Shin Eiwa Chu Jiten) ""New English-Japanese Dictionary""",Shigeru Takebayashi,"Japanese, English",1967,12 million[346]
広辞苑 (Kōjien),Izuru Shinmura,Japanese,1955,11.9 million[347]
"旺文社古語辞典 (Obunsha Kogo Jiten) ""Obunsha Dictionary of Archaisms""",Akira Matsumura,Japanese,1960,11 million[348]
Hammond'sPocket Atlas,,English,(Up to 1965),11 million[349]
"三省堂国語辞典 (Sanseido Kokugo Jiten) ""Sanseido Dictionary of the Japanese Language""",Kenbō Hidetoshi,Japanese,1960,10 million[350]
"家庭に於ける実際的看護の秘訣 (Katei Ni Okeru Jissaiteki Kango No Hiketsu) ""Key to Practical Personal Care at Home""",Takichi Tsukuda,Japanese,1925,10 million[351]
C程序设计(C Program Design),"Tan, Haoqiang",Chinese,1991,10 million[352]
